feature,rf_label_norm,rf_activity_norm,mi_label_norm,mi_activity_norm,combined_score
fwd_mode_header_bytes,1.0,0.8659072357189256,0.748059234415089,0.6671422844295355,0.8428124744846025
fwd_packets_IAT_total,0.630962683896166,0.6297975990032334,0.9968599881059106,0.9986305671844082,0.7773261959278835
fwd_packets_IAT_mean,0.7549248946161637,0.5091684639704476,0.9924950593758445,0.9971120210719892,0.7771494236655502
packet_IAT_max,0.6085256171743635,0.6431285445914395,0.9873294034691851,0.9879293547168777,0.7705480001669535
fwd_packets_IAT_max,0.43742567319878556,0.7506583616476926,0.9949978856022139,1.0,0.7554247875743862
packet_IAT_total,0.6066804769972499,0.513277922345306,0.9921946747696603,0.9904398742949202,0.7325144296156829
fwd_packets_IAT_mode,0.61277103677706,0.4753291964976921,0.9966272155751419,0.9949294738679716,0.7247414078710483
mean_header_bytes,0.776142577381183,0.6140730241569292,0.7758067185367324,0.7113056317338934,0.7144871505155588
fwd_mean_header_bytes,0.8551828022205467,0.5736409921431657,0.747430418717916,0.6742778418249414,0.7129887904176853
fwd_min_header_bytes,0.7250305944093903,0.6958853714315565,0.7466951049307238,0.6724884881264942,0.7101115083637276
fwd_packets_IAT_median,0.5237650200809885,0.49017548633966496,1.0,0.9970103530190044,0.7035842225299969
fwd_packets_IAT_min,0.5753165598026629,0.43581120553203845,0.9943086086518695,0.9952099414418063,0.7012420396191456
mode_header_bytes,0.7822786039623155,0.5794998161010139,0.7204823088942329,0.6504406549137782,0.6827181187806011
packets_IAT_mode,0.5189776904850243,0.42904363893001646,0.9921069392577044,0.9801319286853787,0.678854172413129
packets_IAT_mean,0.4669986026037741,0.4661117877919014,0.9917222050893938,0.9894153576013098,0.6761606296568433
max_header_bytes,0.7235424418248927,0.5734250977462223,0.726347344456904,0.6550142378046238,0.66536257832364
packet_IAT_min,0.4421327180887925,0.45209912049712325,0.9869684575841823,0.979329315187421,0.6615291061300954
packets_IAT_median,0.469660362045622,0.41480732952643856,0.9879316330237708,0.9831036857518959,0.6595473712267516
fwd_median_header_bytes,0.7020850818191495,0.5410117420141383,0.7523966782185945,0.6739445310974773,0.6581972890132007
min_header_bytes,0.674344068958812,0.5646026524838,0.7339118530194619,0.6545052951848908,0.6493674460736542
src_port,0.38278201461589034,0.7645715789975451,0.5989512139972104,0.6673812053471299,0.5974725619528988
median_header_bytes,0.3653454359046745,0.5621256354336279,0.7512003696333762,0.6915543944348904,0.5667922742151441
fwd_max_header_bytes,0.5730929024925252,0.34279388213906975,0.741486383403136,0.6723172812410863,0.5575267683183229
dst_port,0.39476852865811723,1.0,0.14515505969200684,0.4762721595687767,0.5427160024495918
fwd_init_win_bytes,0.21027755386624505,0.35815556685747996,0.8393973228677056,0.8569772068098045,0.5098048421526196
fwd_total_header_bytes,0.20774379683369265,0.24747346641871526,0.6195805392871503,0.601609911902097,0.3808032692135718
total_header_bytes,0.050694659646922054,0.05025169035894465,0.6208269553354017,0.5137695112347874,0.25720319831579785
median_packets_delta_time,0.24321307397186503,0.15604674801114995,0.314579789148008,0.3186916078862824,0.24643222600176257
syn_flag_percentage_in_total,0.18296342112152897,0.17938508824688723,0.24982755944753204,0.36957281323689434,0.23258462734741014
fwd_syn_flag_percentage_in_total,0.21127226568244306,0.15581023344802963,0.241340329826646,0.35925345802270314,0.23024350730901164
packets_rate,0.14341430224116242,0.1785969334000513,0.31505155362067183,0.32538985818556165,0.22469165305361083
duration,0.11544601805121261,0.19319355332620936,0.31255160257582715,0.3277165413202497,0.22064550019244197
mean_packets_delta_time,0.14123939045974465,0.14833555175891458,0.3188679042286707,0.3211244096543213,0.2148709454421962
bwd_packets_IAT_total,0.1766601211055521,0.1998513466597524,0.2375112735446744,0.26215213875165894,0.21288612278885802
mode_packets_delta_time,0.13411196756824714,0.15423981097205341,0.31401445457100896,0.3063926701109291,0.2105869584984778
fwd_packets_rate,0.21579524696496935,0.1487524475427318,0.24342316140056444,0.2205754129226505,0.20216402321695331
bwd_packets_IAT_max,0.14221898622545887,0.1607038094462825,0.24014150545327584,0.2619565808639211,0.1912964559649618
bwd_packets_IAT_min,0.10896849221283879,0.15940891688486689,0.24617436631503056,0.26069882243506937,0.18188786047933167
bwd_packets_rate,0.10252018707449075,0.14143674322809158,0.2316068827419124,0.26468943181212423,0.17244634200158204
bwd_packets_IAT_mode,0.11803861861926968,0.11070236765491902,0.24311040362510086,0.26112794061904554,0.1694699647310859
bwd_packets_IAT_median,0.10994067837451207,0.1066434988863399,0.25163388342403115,0.2666810866618652,0.16863824719543485
median_packets_delta_len,0.1488466415155377,0.062154557633378044,0.2302313204524291,0.25155626950552584,0.1596578777362657
rst_flag_percentage_in_total,0.03269945834314774,0.1825078199735216,0.19531590710726718,0.27089932171721365,0.15780522925989698
bwd_packets_IAT_mean,0.06859765304586554,0.10990835856457568,0.24295568123134015,0.26542037709086236,0.15522701514757287
ack_flag_percentage_in_total,0.05764907476452527,0.12353739025983014,0.20181668424967292,0.2895449978617271,0.1526282759295866
median_bwd_packets_delta_time,0.17139271146777432,0.13769911211478647,0.12218466166305052,0.15377621350757145,0.14791972210889265
mode_packets_delta_len,0.13919232981592106,0.039318529500176,0.2245371457955986,0.24342179864341,0.14714504668263084
syn_flag_counts,0.0887468556844078,0.07879249551154094,0.18512831555550335,0.2919781949436146,0.1456831074586082
min_packets_delta_len,0.09580571099825187,0.06951916579530863,0.2188309344485127,0.2514354417686382,0.14365073828149832
fwd_syn_flag_counts,0.06489064826844478,0.1011411560537011,0.16890190447066236,0.27050404233069364,0.13769073065691498
rst_flag_counts,0.07189542153681816,0.11324590758964118,0.1689122075360166,0.23832699530282267,0.13699023930570564
max_packets_delta_len,0.15993841888399768,0.05501110650128753,0.15224227040991561,0.1981950574568716,0.13457232318894302
bwd_init_win_bytes,0.08507934257694738,0.1480403643491818,0.12610801591999357,0.190706951671883,0.13329890559621407
min_bwd_packets_delta_time,0.13112130309435457,0.12099121211682391,0.12773603167234987,0.1504213684448306,0.13126523458678965
mean_packets_delta_len,0.05757586453193685,0.0407667371839415,0.2374691882580322,0.2608412720351525,0.12916487257340045
mean_bwd_packets_delta_time,0.1268047719728424,0.12168018670948938,0.11760833343281296,0.15108953548394957,0.12828506138805204
max_bwd_packets_delta_time,0.10761796991080802,0.12645318844576395,0.12204892475085764,0.1480485305247832,0.12424083856209976
fwd_ack_flag_percentage_in_fwd_packets,0.04621952162149151,0.2522800056292506,0.015418747381898933,0.1304009120809057,0.11871379006778356
bwd_total_header_bytes,0.0411768974513834,0.028912236384493396,0.21598405638506404,0.24722490502155325,0.1136685324320865
max_bwd_packets_delta_len,0.13272890314914856,0.06327673987125335,0.12441665507792923,0.14162584385785715,0.11201019269327785
median_bwd_packets_delta_len,0.1281715109752176,0.05567910664504795,0.13548039989904404,0.1440180008828695,0.11105486544246237
packets_count,0.0437266520116703,0.02871308161483912,0.19733052538186596,0.230213067451679,0.10724063865466182
fwd_ack_flag_counts,0.032208915205985116,0.21572281153049053,0.02192089770752118,0.13557960746408626,0.10587961905526419
ack_flag_counts,0.07601459244046899,0.048847161553089304,0.13635498699765097,0.19957551429224576,0.10464462645604683
mode_bwd_packets_delta_time,0.06920394538476199,0.09637193440609872,0.12468309689411591,0.14954988575795888,0.10451936046767318
bwd_rst_flag_percentage_in_bwd_packets,0.06153081956264196,0.053581597397992946,0.1515597071044925,0.19483236162426662,0.1038121388339423
bwd_ack_flag_percentage_in_bwd_packets,0.030501469798255142,0.06781305392933396,0.1579826820490299,0.19617824243696141,0.100326542015475
fwd_ack_flag_percentage_in_total,0.0340923349962746,0.18145843709430245,0.026623408357906008,0.14264000164582727,0.09851791362791977
handshake_state,0.07486809656327323,0.08801053987451485,0.04119423079300173,0.20629486374176104,0.09836140983828898
mean_bwd_packets_delta_len,0.1331614580623756,0.019577839904959263,0.11982970998856615,0.1416489704166821,0.0981175254712501
bwd_ack_flag_percentage_in_total,0.021550538977126218,0.04898213631329444,0.169291305988955,0.21311344948328398,0.09764075368157399
bwd_rst_flag_percentage_in_total,0.02361310338565058,0.042348293852478784,0.16611415585860925,0.2070539157662866,0.09442203349641798
fwd_syn_flag_percentage_in_fwd_packets,0.051757429069776026,0.08976283839530873,0.055365738942806254,0.19949329146987238,0.09342788632206114
bwd_packets_count,0.034955426759806285,0.016757665857660666,0.1652057357424217,0.2019209713344229,0.08893926920060902
median_fwd_packets_delta_time,0.0047812214284700515,0.11832498075828463,0.12735154095589848,0.10041696438470722,0.08248556172414755
min_bwd_packets_delta_len,0.07957795834492204,0.011859871606835,0.12023084826759516,0.14141357604275648,0.07976023384759744
bwd_median_header_bytes,0.007036012322929565,0.031666162912163176,0.13278165594886077,0.18080704826413968,0.07432839341312791
packets_IAT_cov,0.04152264063718676,0.02815511713888357,0.1511775621462161,0.11290477669295666,0.07371979510065566
std_packets_delta_time,0.02288077635661261,0.028755740581341564,0.15662055025443208,0.12916922262840227,0.07264890965795312
bwd_ack_flag_counts,0.011009492469148854,0.03330391198059157,0.11163669275400871,0.17743103291271348,0.07110756646826658
bwd_max_header_bytes,0.006211761699132286,0.025409926901917224,0.12507072224281132,0.17779358913156054,0.07005936885518924
fwd_packets_count,0.023573637424480643,0.013288659756239418,0.1411278623526498,0.15256981498073707,0.0697982246208934
mean_fwd_packets_delta_time,0.05765380152815549,0.0104116572631161,0.1377173143746912,0.10591249327021414,0.06914559916636255
bwd_mode_header_bytes,0.041782731557941155,0.005563318847504453,0.10953622349949686,0.16410062477882356,0.06893118477729777
mode_bwd_packets_delta_len,0.042598238524186254,0.012969940672906384,0.12425595819169853,0.1367402966515777,0.06886970472778303
bwd_mean_header_bytes,0.00636263694821277,0.00916865586130771,0.13089713271515788,0.17929981044926238,0.0666987764757402
